Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 17:30;3,4;1,009;17,7;
19.10.2023 17:30;3,3;1,006;17,7;
19.10.2023 17:31;3,4;1,004;17,7;
19.10.2023 17:31;3,7;1,002;17,7;
19.10.2023 17:32;3,6;0,999;17,7;
19.10.2023 17:32;3,5;0,997;17,7;
19.10.2023 17:33;3,5;0,995;17,7;
19.10.2023 17:33;3,3;0,993;17,7;
19.10.2023 17:34;3,3;0,991;17,7;
19.10.2023 17:34;3,6;0,988;17,7;
19.10.2023 17:35;3,5;0,986;17,7;
19.10.2023 17:35;3,4;0,984;17,7;
19.10.2023 17:36;3,6;0,982;17,7;
19.10.2023 17:36;3,9;0,98;17,7;
19.10.2023 17:37;4;0,977;17,7;
19.10.2023 17:37;4;0,975;17,7;
19.10.2023 17:38;4;0,973;17,7;
19.10.2023 17:38;4,1;0,97;17,7;
19.10.2023 17:39;3,9;0,968;17,7;
19.10.2023 17:39;3,8;0,966;17,7;
19.10.2023 17:40;3,8;0,963;17,7;
19.10.2023 17:40;3,9;0,961;17,7;
19.10.2023 17:41;4,1;0,959;17,7;
19.10.2023 17:41;4;0,956;17,7;
19.10.2023 17:42;4;0,954;17,7;
19.10.2023 17:42;4,2;0,951;17,7;
19.10.2023 17:43;3,9;0,949;17,7;
19.10.2023 17:43;3,6;0,946;17,7;
19.10.2023 17:44;3,9;0,944;17,7;
19.10.2023 17:44;4;0,942;17,7;
19.10.2023 17:45;4;0,939;17,7;
19.10.2023 17:45;3,8;0,937;17,7;
19.10.2023 17:46;3,5;0,935;17,7;
19.10.2023 17:46;3,4;0,932;17,7;
19.10.2023 17:47;3,5;0,93;17,7;
19.10.2023 17:47;3,7;0,927;17,7;
19.10.2023 17:48;3,9;0,925;17,7;
19.10.2023 17:48;4;0,922;17,8;
19.10.2023 17:49;4;0,92;17,7;
19.10.2023 17:49;4,1;0,917;17,7;
19.10.2023 17:50;4,1;0,915;17,7;
19.10.2023 17:50;3,7;0,912;17,7;
19.10.2023 17:51;3,4;0,91;17,7;
19.10.2023 17:51;3,6;0,907;17,7;
19.10.2023 17:52;3,7;0,904;17,7;
19.10.2023 17:52;3,7;0,902;17,7;
19.10.2023 17:53;3,6;0,899;17,7;
19.10.2023 17:53;3,6;0,897;17,7;
19.10.2023 17:54;3,8;0,894;17,8;
19.10.2023 17:54;4,1;0,892;17,7;
19.10.2023 17:55;4,3;0,889;17,7;
19.10.2023 17:55;4,3;0,887;17,7;
19.10.2023 17:56;4,2;0,884;17,7;
19.10.2023 17:56;4,1;0,881;17,7;
19.10.2023 17:57;3,8;0,879;17,7;
19.10.2023 17:57;3,6;0,876;17,7;
19.10.2023 17:58;3,8;0,874;17,7;
19.10.2023 17:58;4;0,871;17,7;
19.10.2023 17:59;3,8;0,868;17,8;
19.10.2023 17:59;3,7;0,866;17,8;
19.10.2023 18:00;3,5;0,863;17,7;
19.10.2023 18:00;3,4;0,86;17,7;
19.10.2023 18:01;3,6;0,857;17,7;
19.10.2023 18:01;3,6;0,855;17,7;
19.10.2023 18:02;3,4;0,852;17,7;
19.10.2023 18:02;3,3;0,849;17,7;
19.10.2023 18:03;3,3;0,847;17,8;
19.10.2023 18:03;3,3;0,844;17,8;
19.10.2023 18:04;3,4;0,841;17,8;
19.10.2023 18:04;3,2;0,839;17,8;
19.10.2023 18:05;3;0,836;17,8;
19.10.2023 18:05;3;0,833;17,7;
19.10.2023 18:06;3,1;0,83;17,7;
19.10.2023 18:06;3,4;0,827;17,7;
19.10.2023 18:07;3,3;0,825;17,7;
19.10.2023 18:07;3,3;0,822;17,8;
19.10.2023 18:08;5,6;0,819;17,8;
19.10.2023 18:08;8,9;0,816;17,8;
19.10.2023 18:09;5,7;0,813;17,8;
19.10.2023 18:09;3,2;0,81;17,8;
19.10.2023 18:10;3,3;0,808;17,7;
19.10.2023 18:10;3,7;0,804;17,7;
19.10.2023 18:11;3,8;0,802;17,8;
19.10.2023 18:11;3,1;0,798;17,7;
19.10.2023 18:12;2,9;0,796;17,8;
19.10.2023 18:12;3;0,793;17,8;
19.10.2023 18:13;3,1;0,79;17,8;
19.10.2023 18:13;3,2;0,787;17,8;
19.10.2023 18:14;3,3;0,783;17,8;
19.10.2023 18:14;3,3;0,781;17,7;
19.10.2023 18:15;3,3;0,777;17,7;
19.10.2023 18:15;3,7;0,774;17,7;
19.10.2023 18:16;3,7;0,771;17,8;
19.10.2023 18:16;3,2;0,768;17,8;
19.10.2023 18:17;3,1;0,765;17,8;
19.10.2023 18:17;3,4;0,762;17,8;
19.10.2023 18:18;3,6;0,759;17,8;
19.10.2023 18:18;3,8;0,755;17,8;
19.10.2023 18:19;5,1;0,752;17,7;
19.10.2023 18:19;4,8;0,749;17,8;
19.10.2023 18:20;3,6;0,745;17,8;
19.10.2023 18:20;3,6;0,742;17,8;
19.10.2023 18:21;4,1;0,739;17,8;
19.10.2023 18:21;5,1;0,735;17,8;
19.10.2023 18:22;6,3;0,732;17,8;
19.10.2023 18:22;7,6;0,728;17,8;
19.10.2023 18:23;6,6;0,725;17,8;
19.10.2023 18:23;6,1;0,721;17,8;
19.10.2023 18:24;6,6;0,718;17,8;
19.10.2023 18:24;6,9;0,714;17,8;
19.10.2023 18:25;7,8;0,71;17,8;
19.10.2023 18:25;7,3;0,707;17,8;
19.10.2023 18:26;5,2;0,703;17,8;
19.10.2023 18:26;5,1;0,699;17,8;
19.10.2023 18:27;5,4;0,695;17,8;
19.10.2023 18:27;5,7;0,692;17,8;
19.10.2023 18:28;5,4;0,688;17,8;
19.10.2023 18:28;5,7;0,684;17,8;
19.10.2023 18:29;5,8;0,68;17,8;
19.10.2023 18:29;6;0,676;17,8;
19.10.2023 18:30;6,1;0,672;17,8;
19.10.2023 18:30;6,5;0,668;17,8;
19.10.2023 18:31;6,9;0,664;17,8;
19.10.2023 18:31;6,6;0,66;17,8;
19.10.2023 18:32;7,3;0,656;17,8;
19.10.2023 18:32;7,5;0,651;17,8;
19.10.2023 18:33;7;0,647;17,8;
19.10.2023 18:33;7;0,643;17,8;
19.10.2023 18:34;7;0,638;17,8;
19.10.2023 18:34;7,3;0,634;17,8;
19.10.2023 18:35;7,8;0,629;17,8;
19.10.2023 18:35;8,7;0,625;17,8;
19.10.2023 18:36;10,2;0,621;17,8;
19.10.2023 18:36;11,3;0,616;17,8;
19.10.2023 18:37;13,3;0,611;17,8;
19.10.2023 18:37;15,5;0,607;17,8;
19.10.2023 18:38;15,7;0,602;17,8;
19.10.2023 18:38;738,6;0,597;17,8;F
19.10.2023 18:39;681,7;0,593;17,8;F
19.10.2023 18:39;12,9;0,588;17,8;
19.10.2023 18:40;12,6;0,583;17,8;
19.10.2023 18:40;13,7;0,578;17,8;
19.10.2023 18:41;13,9;0,573;17,8;
19.10.2023 18:41;13,9;0,568;17,8;
19.10.2023 18:42;15,1;0,563;17,8;
19.10.2023 18:42;574,9;0,557;17,8;F
19.10.2023 18:43;833,8;0,552;17,8;F
19.10.2023 18:43;57,5;0,546;17,8;
19.10.2023 18:44;23,9;0,541;17,8;
19.10.2023 18:44;23,7;0,535;17,8;
19.10.2023 18:45;22,1;0,529;17,8;
19.10.2023 18:45;22,5;0,523;17,8;
19.10.2023 18:46;26,8;0,517;17,8;
19.10.2023 18:46;29,2;0,511;17,8;
19.10.2023 18:47;270,5;0,505;17,8;F
19.10.2023 18:47;68,5;0,498;17,8;
19.10.2023 18:48;32,4;0,492;17,8;
19.10.2023 18:48;37,2;0,485;17,8;
19.10.2023 18:49;37,8;0,478;17,8;
19.10.2023 18:49;654,1;0,471;17,8;
19.10.2023 18:50;2044;0,464;17,8;
19.10.2023 18:50;2684,5;0,457;17,8;A
19.10.2023 18:51;2840,1;0,449;17,8;A
19.10.2023 18:51;2715,6;0,442;17,8;A
19.10.2023 18:52;2581,1;0,434;17,8;A
19.10.2023 18:52;2389,2;0,426;17,8;
19.10.2023 18:53;2338,6;0,418;17,8;
19.10.2023 18:53;2155;0,409;17,8;
19.10.2023 18:54;2583,2;0,4;17,8;A
19.10.2023 18:54;2802,3;0,391;17,8;A
19.10.2023 18:55;2740,7;0,382;17,8;A
19.10.2023 18:55;2755,9;0,372;17,8;A
19.10.2023 18:56;2724,1;0,361;17,8;A
19.10.2023 18:56;2827,4;0,351;17,8;A
19.10.2023 18:57;2774,5;0,339;17,8;A
19.10.2023 18:57;2878,3;0,327;17,8;A
19.10.2023 18:58;3200,6;0,315;17,8;A
19.10.2023 18:58;3418,6;0,303;17,8;A
19.10.2023 18:59;3082,9;0,288;17,8;A
19.10.2023 18:59;2784,6;0,273;17,8;A
19.10.2023 19:00;3198,1;0,257;17,8;A
19.10.2023 19:00;3870;0,241;17,8;A
19.10.2023 19:01;4383,7;0,223;17,8;A
19.10.2023 19:01;4502,7;0,206;17,8;A
19.10.2023 19:02;6186,2;0,189;17,8;A
19.10.2023 19:02;5310,1;0,171;17,8;A
19.10.2023 19:03;3661;0,155;17,8;A
19.10.2023 19:03;0;0,139;17,8;K
19.10.2023 19:04;0;0,126;17,8;K
19.10.2023 19:04;0;0,116;17,8;K
19.10.2023 19:05;0;0,11;17,9;K
19.10.2023 19:05;0;0,107;17,9;K
19.10.2023 19:06;0;0,105;17,9;K
19.10.2023 19:06;0;0,104;17,9;K
19.10.2023 19:07;0;0,103;17,9;K
19.10.2023 19:07;0;0,103;17,9;K
19.10.2023 19:08;0;0,103;17,9;K
19.10.2023 19:08;0;0,103;17,9;K
19.10.2023 19:09;0;0,103;17,9;K
19.10.2023 19:09;0;0,103;17,9;K
19.10.2023 19:10;0;0,103;18;K
19.10.2023 19:10;0;0,103;18;K
19.10.2023 19:11;0;0,104;18;K
19.10.2023 19:11;0;0,104;18;K
19.10.2023 19:12;0;0,103;18;K
19.10.2023 19:12;0;0,103;18;K
19.10.2023 19:13;0;0,103;18;K
19.10.2023 19:13;0;0,103;18;K
19.10.2023 19:14;0;0,103;18;K
19.10.2023 19:14;0;0,103;18;K
19.10.2023 19:15;0;0,104;18;K
19.10.2023 19:15;0;0,104;18;K
19.10.2023 19:16;0;0,104;18;K
19.10.2023 19:16;0;0,104;18;K
19.10.2023 19:17;0;0,104;18;K
19.10.2023 19:17;0;0,104;18;K
19.10.2023 19:18;0;0,104;18;K
19.10.2023 19:18;0;0,104;18;K
19.10.2023 19:19;0;0,104;18,1;K
19.10.2023 19:19;0;0,104;18,1;K
19.10.2023 19:20;0;0,104;18,1;K
19.10.2023 19:20;0;0,104;18,1;K
19.10.2023 19:21;0;0,104;18,1;K
19.10.2023 19:21;0;0,104;18,1;K
19.10.2023 19:22;0;0,104;18,1;K
19.10.2023 19:22;0;0,104;18,1;K
19.10.2023 19:23;0;0,104;18,1;K
19.10.2023 19:23;0;0,104;18,1;K
19.10.2023 19:24;0;0,104;18,1;K
19.10.2023 19:24;0;0,104;18,1;K
19.10.2023 19:25;0;0,104;18,1;K
19.10.2023 19:25;0;0,104;18,1;K
19.10.2023 19:26;0;0,104;18,1;K
19.10.2023 19:26;0;0,104;18,1;K
19.10.2023 19:27;0;0,104;18,1;K
19.10.2023 19:27;0;0,104;18,1;K
19.10.2023 19:28;0;0,104;18,1;K
19.10.2023 19:28;0;0,104;18,1;K
19.10.2023 19:29;0;0,103;18,1;K
19.10.2023 19:29;0;0,104;18,1;K
19.10.2023 19:30;0;0,104;18,1;K
19.10.2023 19:30;0;0,104;18,1;K
19.10.2023 19:31;0;0,104;18,1;K
19.10.2023 19:31;0;0,104;18,1;K
19.10.2023 19:32;0;0,104;18,1;K
19.10.2023 19:32;0;0,103;18,1;K
19.10.2023 19:33;0;0,104;18,1;K
19.10.2023 19:33;0;0,104;18,1;K
19.10.2023 19:34;0;0,105;18,1;K
19.10.2023 19:34;0;0,104;18,1;K
19.10.2023 19:35;0;0,104;18,1;K
19.10.2023 19:35;0;0,104;18,1;K
19.10.2023 19:36;0;0,104;18,1;K
19.10.2023 19:36;0;0,103;18,1;K
19.10.2023 19:37;0;0,103;18,1;K
19.10.2023 19:37;0;0,103;18,1;K
19.10.2023 19:38;0;0,103;18,1;K
19.10.2023 19:38;0;0,103;18,1;K
19.10.2023 19:39;0;0,103;18,1;K
19.10.2023 19:39;0;0,102;18,1;K
19.10.2023 19:40;0;0,102;18,1;K
19.10.2023 19:40;0;0,102;18,1;K
19.10.2023 19:41;0;0,102;18,1;K
19.10.2023 19:41;0;0,102;18,1;K
19.10.2023 19:42;0;0,102;18,1;K
19.10.2023 19:42;0;0,102;18,1;K
19.10.2023 19:43;0;0,101;18,2;K
19.10.2023 19:43;0;0,101;18,2;K
19.10.2023 19:44;0;0,101;18,2;K
19.10.2023 19:44;0;0,101;18,2;K
19.10.2023 19:45;0;0,101;18,2;K
19.10.2023 19:45;0;0,101;18,2;K
19.10.2023 19:46;0;0,101;18,2;K
19.10.2023 19:46;0;0,101;18,2;K
19.10.2023 19:47;0;0,101;18,2;K
19.10.2023 19:47;0;0,101;18,2;K
19.10.2023 19:48;0;0,101;18,2;K
19.10.2023 19:48;0;0,101;18,2;K
19.10.2023 19:49;0;0,101;18,2;K
19.10.2023 19:49;0;0,101;18,2;K
19.10.2023 19:50;0;0,101;18,3;K
19.10.2023 19:50;0;0,101;18,3;K
19.10.2023 19:51;0;0,101;18,3;K
19.10.2023 19:51;0;0,101;18,3;K
19.10.2023 19:52;0;0,101;18,3;K
19.10.2023 19:52;0;0,101;18,3;K
19.10.2023 19:53;0;0,102;18,3;K
19.10.2023 19:53;0;0,101;18,3;K
19.10.2023 19:54;0;0,101;18,3;K
19.10.2023 19:54;0;0,101;18,3;K
19.10.2023 19:55;0;0,101;18,3;K
19.10.2023 19:55;0;0,101;18,3;K
19.10.2023 19:56;0;0,101;18,3;K
19.10.2023 19:56;0;0,101;18,3;K
19.10.2023 19:57;0;0,101;18,3;K
19.10.2023 19:57;0;0,1;18,3;K
19.10.2023 19:58;0;0,1;18,3;K
19.10.2023 19:58;0;0,1;18,3;K
19.10.2023 19:59;0;0,099;18,3;K
19.10.2023 19:59;0;0,1;18,3;K
19.10.2023 20:00;0;0,099;18,3;K
19.10.2023 20:00;0;0,099;18,3;K
19.10.2023 20:01;0;0,099;18,3;K
19.10.2023 20:01;0;0,099;18,3;K
19.10.2023 20:02;0;0,098;18,4;K
19.10.2023 20:02;0;0,098;18,4;K
19.10.2023 20:03;0;0,098;18,4;K
19.10.2023 20:03;0;0,098;18,4;K
19.10.2023 20:04;0;0,098;18,4;K
19.10.2023 20:04;0;0,098;18,4;K
19.10.2023 20:05;0;0,098;18,4;K
19.10.2023 20:05;0;0,098;18,5;K
19.10.2023 20:06;0;0,098;18,5;K
19.10.2023 20:06;0;0,098;18,5;K
19.10.2023 20:07;0;0,098;18,5;K
19.10.2023 20:07;0;0,099;18,5;K
19.10.2023 20:08;0;0,099;18,5;K
19.10.2023 20:08;0;0,098;18,5;K
19.10.2023 20:09;0;0,098;18,5;K
19.10.2023 20:09;0;0,097;18,5;K
19.10.2023 20:10;0;0,097;18,5;K
19.10.2023 20:10;0;0,097;18,5;K
19.10.2023 20:11;0;0,097;18,5;K
19.10.2023 20:11;0;0,097;18,5;K
19.10.2023 20:12;0;0,097;18,5;K
19.10.2023 20:12;0;0,096;18,5;K
19.10.2023 20:13;0;0,096;18,5;K
19.10.2023 20:13;0;0,096;18,5;K
19.10.2023 20:14;0;0,096;18,5;K
19.10.2023 20:14;0;0,096;18,5;K
19.10.2023 20:15;0;0,096;18,5;K
19.10.2023 20:15;0;0,096;18,5;K
19.10.2023 20:16;0;0,096;18,5;K
19.10.2023 20:16;0;0,096;18,5;K
19.10.2023 20:17;0;0,096;18,5;K
19.10.2023 20:17;0;0,096;18,5;K
19.10.2023 20:18;0;0,095;18,5;K
19.10.2023 20:18;0;0,095;18,5;K
19.10.2023 20:19;0;0,095;18,5;K
19.10.2023 20:19;0;0,096;18,5;K
19.10.2023 20:20;0;0,095;18,5;K
19.10.2023 20:20;0;0,095;18,5;K
19.10.2023 20:21;0;0,095;18,5;K
19.10.2023 20:21;0;0,095;18,5;K
19.10.2023 20:22;0;0,095;18,5;K
19.10.2023 20:22;0;0,095;18,5;K
19.10.2023 20:23;0;0,095;18,5;K
19.10.2023 20:23;0;0,095;18,5;K
19.10.2023 20:24;0;0,095;18,5;K
19.10.2023 20:24;0;0,095;18,5;K
19.10.2023 20:25;0;0,094;18,5;K
19.10.2023 20:25;0;0,094;18,5;K
19.10.2023 20:26;0;0,094;18,5;K
19.10.2023 20:26;0;0,094;18,5;K
19.10.2023 20:27;0;0,094;18,5;K
19.10.2023 20:27;0;0,094;18,5;K
19.10.2023 20:28;0;0,094;18,5;K
19.10.2023 20:28;0;0,094;18,5;K
19.10.2023 20:29;0;0,094;18,5;K
19.10.2023 20:29;0;0,094;18,5;K
19.10.2023 20:30;0;0,094;18,5;K
19.10.2023 20:30;0;0,094;18,5;K
19.10.2023 20:31;0;0,094;18,5;K
19.10.2023 20:31;0;0,093;18,5;K
19.10.2023 20:32;0;0,093;18,5;K
19.10.2023 20:32;0;0,094;18,5;K
19.10.2023 20:33;0;0,093;18,5;K
19.10.2023 20:33;0;0,094;18,5;K
19.10.2023 20:34;0;0,093;18,5;K
19.10.2023 20:34;0;0,094;18,5;K
19.10.2023 20:35;0;0,093;18,5;K
19.10.2023 20:35;0;0,093;18,5;K
19.10.2023 20:36;0;0,093;18,5;K
19.10.2023 20:36;0;0,093;18,5;K
19.10.2023 20:37;0;0,093;18,5;K
